s_name,b_hour,county,address,rate,geo_loc,pic_url,gmaps_url,type,comm,area,create_time,update_time
臺中市立圖書館西屯分館,星期一休息星期二08:30–21:00星期三08:30–21:00星期四08:30–21:00星期五08:30–21:00星期六08:30–21:00星期日08:30–17:30,台中市,台中市西屯區福星路666號,4.3,"120.64905,24.17301",https://lh3.googleusercontent.com/p/AF1QipNq5ywXJ4anYGaXUzgsIKOQ7_DYwmxWTRTxLvVy=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJHQ_7KycWaTQR__x6J2a8Twk,室內,555,西屯區,2025-05-05 12:54:26,2025-05-05 12:54:26
歷史建築臺中放送局,星期一休息星期二10:00–18:00星期三10:00–18:00星期四10:00–18:00星期五10:00–18:00星期六10:00–18:00星期日10:00–18:00,台中市,台中市北區電台街1號,4.0,"120.69065,24.14991",https://lh3.googleusercontent.com/p/AF1QipMDKFxO8jR-HhSuYxM9n-o3ndkI297f0VGY4zQ=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJyc5xyUI9aTQRXicx3AaPu-g,戶外,2699,北區,2025-05-05 12:54:26,2025-05-05 12:54:26
臺中市役所,星期一09:30–17:30星期二09:30–17:30星期三09:30–17:30星期四09:30–17:30星期五09:30–17:30星期六09:30–17:30星期日09:30–17:30,台中市,台中市西區民權路97號,4.1,"120.67911,24.13834",https://lh3.googleusercontent.com/p/AF1QipNjX-HX0qflrnfP9W5bSVe2HAdEG012Z9bBt3o0=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJszQaQhI9aTQRww3PD2x5osU,戶外,1812,西區,2025-05-05 12:54:26,2025-05-05 12:54:26
忠信市場,,台中市,台中市西區五權西路一段67號,3.9,"120.66351,24.13984",https://lh3.googleusercontent.com/p/AF1QipOSLkifUj35CqOtzIDfqGWWkyil6rEBc68eoNiY=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJXSYzKac9aTQRvIfBydmJvbY,戶外,1041,西區,2025-05-05 12:54:26,2025-05-05 12:54:26
臺中市立圖書館沙鹿深波分館,星期一休息星期二08:30–21:00星期三08:30–21:00星期四08:30–21:00星期五08:30–21:00星期六08:30–21:00星期日08:30–17:30,台中市,台中市沙鹿區鎮南路二段488號,4.4,"120.56418,24.23338",https://lh3.googleusercontent.com/p/AF1QipM3T0zN-mtQWUnZBq8cjHvpV_lwstaTWqAn2ruF=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJK1RZFf0UaTQRuFgddE6pw-g,室內,470,沙鹿區,2025-05-05 12:54:26,2025-05-05 12:54:26
犁頭店生活館,,台中市,台中市南屯區萬和路一段50號,4.0,"120.63894,24.13630",https://lh3.googleusercontent.com/p/AF1QipOYSBYnBH285EUizhSuXLYlj0Ar3NKsZBmMQUF9=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ2T8Fa8k9aTQRSvjCiSX9ugQ,室內,50,南屯區,2025-05-05 12:54:26,2025-05-05 12:54:26
臺中市立圖書館石岡分館,,台中市,台中市石岡區明德路175號,4.4,"120.77584,24.27400",https://lh3.googleusercontent.com/p/AF1QipO4pb_a0-iOop6g03yGW46AL-xxkVxfwq9AsD2H=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJh3g12wsbaTQRtbV1Mk_Bj44,室內,49,石岡區,2025-05-05 12:54:26,2025-05-05 12:54:26
不老夢想125號(不老食光餐廳),星期一休息星期二09:00–17:00星期三09:00–17:00星期四09:00–17:00星期五09:00–17:00星期六09:00–17:00星期日09:00–17:00,台中市,台中市北區雙十路一段125號,4.8,"120.68695,24.14878",https://lh3.googleusercontent.com/p/AF1QipOP1JfiC722Or3O70MmOh0u8CCiGvAZby6YdZ22=w408-h272-k-no,https://www.google.com/maps/place/?q=place_id:ChIJYat9Umg9aTQR17EitNjb47Y,室內,761,北區,2025-05-05 12:54:26,2025-05-05 12:54:26
梨山文物陳列館,星期一09:00–17:00星期二09:00–17:00星期三09:00–17:00星期四09:00–17:00星期五09:00–17:00星期六09:00–17:00星期日09:00–17:00,台中市,台中市和平區福壽路14號,4.3,"121.25637,24.25255",https://lh3.googleusercontent.com/p/AF1QipNgcQCYqzhIoF07K2B_LyuCC4OwnlFCT6Sm66EF=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ4wnvqi7zaDQRikuR9ohdoow,室內,1102,和平區,2025-05-05 12:54:26,2025-05-05 12:54:26
薩克斯風玩家館Saxophone pro shop_后里店-台灣薩克斯風|selmer|yanagisawa|薩克斯風推薦|薩克斯風保養|,星期一10:00–17:30星期二10:00–17:30星期三10:00–17:30星期四10:00–17:30星期五10:00–17:30星期六10:00–17:30星期日休息,台中市,台中市后里區大圳路473之2號,4.7,"120.70985,24.30819",https://lh3.googleusercontent.com/p/AF1QipOINPr82I1GMTYS3o0ZwabY9DTL_Du_JAFfauQj=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ3Q1E3TMRaTQR4W50hfW1AVo,室內,117,后里區,2025-05-05 12:54:26,2025-05-05 12:54:26
大里杙文化館,星期一休息星期二09:00–12:0014:00–17:00星期三09:00–12:0014:00–17:00星期四09:00–12:0014:00–17:00星期五09:00–12:0014:00–17:00星期六09:00–12:0014:00–17:00星期日09:00–12:0014:00–17:00,台中市,台中市大里區新興路2號,4.0,"120.67715,24.09812",https://lh3.googleusercontent.com/p/AF1QipPsAbpuLoMXPddN-c0KTZbtjaY5aBnZ1fIPSuLq=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJrej8Y408aTQRgY-ZVIAl1Hw,室內,80,大里區,2025-05-05 12:54:26,2025-05-05 12:54:26
霧峰林家花園林獻堂博物館園區,星期一08:30–17:00星期二08:30–17:00星期三08:30–17:00星期四08:30–17:00星期五08:30–17:00星期六08:30–17:00星期日08:30–17:00,台中市,台中市霧峰區萊園路91號,4.3,"120.70280,24.06149",https://lh3.googleusercontent.com/p/AF1QipMVcAzWgrhTyEsdXxmu5g_66HBdbnQFuNivnB7P=w408-h271-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ1TzaAKY7aTQRsm-w0tJJVog,室內,255,霧峰區,2025-05-05 12:54:26,2025-05-05 12:54:26
