gov Id 識別碼,Place ID,名稱,評分,評論數,分類標籤,地址,經度,緯度,營業狀態,營業時間,圖片資訊
C3_382000000A_207587,ChIJLxORYcmoQjQR9M4n4JTTbGg,阿郎切仔麵,4.0,1823,"['restaurant', 'food', 'point_of_interest', 'establishment']",新北市蘆洲區復興路30之1號,121.4724625,25.085013,OPERATIONAL,{'open_now': False},AeeoHcLm3dxafCVn6kKgukf5DIgOECZiJG45VQBEIfa_l53X6Yv-jhGFQ8r-5nydI4JORXcudt5Fivy867LI7iIwdpA0_rupMUEYEqS_gCAegN-PKpFoLijuXLgTcPzqZE6Um5uDZ65E7ePQf2aQAaL8sB7Ol9zDcaNngR_HUGTr3Lds8j2djPqSdRKw-gMHjIwcGUXar8dx33Q1674gl9jujHNPyPLl9S3MP5nBvgiLGEv2U-F99_6yfkhGSwv4R_NtvkDq7-3xzGHdA5ALCqQtT5_EFdWFIsh0jwk-v1LuPkM87PiIlCA
C3_382000000A_207589,ChIJC5txS7OoQjQRmQ4Ia-vtxSo,阿六切仔麵,3.5,1390,"['restaurant', 'point_of_interest', 'food', 'store', 'establishment']",新北市蘆洲區長榮路280號,121.4601731,25.0867328,OPERATIONAL,{'open_now': True},AeeoHcKPY2SNlSglxyFGZHyYeWkcpkjIRtR9S-ogYGblNqu8pKNmGpJaCakdz_gMtdWvqWKKsPiPg0uVD_sx-cYFwYCelA4BZKB3JVbskiyubcpK3Q30nFTVg7NIoypDZwaNREEAHEhBcA_tBAiEe54LtC7J2EEEZ0qL4ca5OnwOndjiJAzPg0_bS49MYw87OKE5hfXipbL7hOgCKpEELOqmvCC-rfw5OKAjjppUNYFclsbF5gTP1E-fXLjTs7U_P9XvVqwL89qzGnNYKSLYZpHLIsEl7uS5alq51WJthwhPQcr5cr98H8Z5zWuADnbNXAXaT7iORHcmUiaqBGdOKnxLxMpdKW_ao1uO5Vy2Rju5jvOAt_92ATcjYm4_txQ__ebzwOK0uYtGOC26FIeWDQ5QErdRrGlFhOPLhjLdraf5XPZH5tsQKm5yeME5PWUxCbXiX5WNh_16a3NFbD944Zmn84UbwSoEmN3cCNADY6BlJmTB_KW-aluEQhH9-KjuXEZ0T44x7yxO6C6QnjOYOp1vTzzBbqOScMDm1pHhIDhc_yAHIgcAraIkIkBr9kVXHcgoQKaQogwV
C3_382000000A_207590,ChIJdQbghY8GaDQRCoFfrAUXrew,鳥來伯擔仔麵,3.9,968,"['restaurant', 'point_of_interest', 'food', 'establishment']",新北市烏來區堰堤13號1樓,121.547264,24.8702335,OPERATIONAL,{'open_now': False},AeeoHcKz1690tRmm1vksmN_uEh0XF0ut7bUyX6KVhmUFArJsqzAFzwYT5PgL15YCVxNNMXqhC8NZ3WxqqLQg-RNwfmpPMQd1JpBZkjoTcMYfLLnE4kch-4WlG9JxHc854lVWH8CJk7m6Jw0vZdMk3vb6UjDQpg2GmY9kTWv9EP_dNIUOxjIuxjxxnkNig3LyM7MLDvcDY2Lk7k_MvEZhjIKFBYQUKSZOm8eqpVMbQddelfJB3vRJoXuM8IyBt0nK0UvsVYMKloWkMfqd_8KnRYFXeA1hjkmGo2rW89DbgVmPBlmDKLKb2r8
C3_382000000A_207604,ChIJVQb_tKkeaDQRAtx6l8oy768,勇伯垃圾麵,3.8,2198,"['restaurant', 'food', 'point_of_interest', 'establishment']",新北市鶯歌區中正一路157號,121.3526507,24.9565081,OPERATIONAL,{'open_now': True},AeeoHcKz-T5v622sf55aySQskOWD5TUQC_PgNDvX9KFlta5q2c6t0SDWkhVF3_w-QdmfhpMMYKZT1g33-XUBq2Gszk3L30YgVrt0HxH1j9pNElqmm7xF3c5aPK35z2NFtropZobzTpFCSaLvd3-a7p5yK_F3wvVZavf9ZAbYbaPhnydYArtQkBlO2dcR89NC5vfFU6IXBDhdqlyUp_-skqG2OI7Hp_er5XzsNvpNjUiefSp_GcsCTR4QGonr6su-DOuvsYmaesch-l64w8L4IJKywNuWZA-9qW5TJAX_6x9KlQ_VnEiDKf0KepAgOKGnAoElegfFtXiVPNpHeW2efq9JeVWMwDapzAKon6dDcx0i-9uUilR_20rLm-ClxsAJN2hGwaNFP-9DCM7CAXcNOI4F93XQ9_a93lcc9ZLAspg2INuK5l0IDtVK354mxLrNk30ZwmuZPAfM8kYJTJSXXuRObRTqIxkAniZ_c1s8PQqndbvgxvB6d758I2T_139_DGc9SqZ-axWgHX1skef6-fGq8hRITL7YirwRNVKHwwqP_TqQ-Bd_5OvaPd0ktxtAJMX2aCRWfyc6uJthwg
C3_382000000A_207625,ChIJ0UqtXE7_ZzQRf2jrQXwgoQ0,福長商號,4.3,100,"['restaurant', 'food', 'point_of_interest', 'establishment']",新北市坪林區坪林街18號,121.7121335,24.9363127,OPERATIONAL,{'open_now': False},AeeoHcIsQLQ3rAHccHMvLwFnNTx2KQ4F7P5XmpemISCfJMlDCjM0kaBuZZQ6aiIXUwHJcdSzFeqexwRJRUzaGGSHZlX3BZNUZM8nkPVAeIIEhspCt4mZcCJHyiCn9CVMPCcImjUungdkBB9Kcd8S6I6BAsbuL9LLjCrpsW-IxRstlJvTJB-FAOgroWsHsM2qHeJBUgeTrS0MW8CMIV5lfgDwlfgKtmVKWmTGvLKiZIfP4CW_kouH8dkNrvee0ymwKWDYUWoM4AzgSAfFLsuVsRpybyU5TcQeqQ3P1hAb7XxHeyIOUM6TqolKvEfBts685Atjv9pb5SeE2MPrnLa0za0BUrOT1wJnLp7ly_KCzzMYQ2ZzuezLUCjE15nY8wvOYxCNoFRihrk4nZXLH4u8cYBry8s-pbak7KiucKcw5a9xTAEVveCU82NoHHlc53ohmRseedQ-LkeG4R8Z0AOtg4Rdn5m08ZaXyVU9BGWVNpf6Vikydd18OqVYA-qlS3yYYJfMI-CtEFrw9uXMtH1avci7Rr9A8Evopr3KaayT6CmNqPDFlDW117zFs1WHStWtSJUeR6_KpC1f
C3_382000000A_207662,ChIJLbdRmrmlQjQRBZXWZTN6T4o,梁師傅牛肉麵餃子館,4.0,1485,"['restaurant', 'point_of_interest', 'food', 'establishment']",新北市八里區中山路二段572號,121.3969496,25.1461944,OPERATIONAL,{'open_now': True},AeeoHcJehFlyR2X9EDeF-QhBSjt-gWVin9_Jnoip3pLKQXjuKiaFmzFx3I4jvtb7JQSpEGLXmtm3d_6qgJX5KlntT4f_21iCEhNhJ8cIqItLu3K6D0TT1ElLP3klFwyobLJw_B9K0-WL_fvnUrIUN3fy5fepvysVAjrjgBfuOyv7A9KLoJH_er0zuo_3lbfES273wab1zfzI-2mPTJwgGWT7eTD58dU4KJFxmIt1xXnvOiS0zwWAupmT_w4zJ7WPWtI-g-nxwHpfKcC5aEdDC1J4jncnpMajiOwhK_ORdznRCYboXQ3Cqcg321y8TI3FELIQeqEYgb9g7iRzR_aE2nbrAT-QCxXFML7P8cGoKPhDy8nRjQfvjLimY2IqsQ3e9uBKp2UJbsom-brTVhMCd2NQLYDXdxIo4tKJ7em5YLYXy67yb4PlbI2c-KVc2bib-_z7FBCByzT26XlzLaJ0pkKjPOrRFpGG-1Sf4llWa-4HmyuAPG0wr9VsyDZ8MbrXhAOmoms8J1r_CF1vMzbjdlWkFR3C8wcg2N7TNzTwhQ-DL4Hu3B-RKy4WgPVZPkBTjYjEeZ0CPw
C3_382000000A_207674,ChIJDSSbZP-vQjQRY09xJ1tAlqk,真傳牛肉店,4.2,247,"['restaurant', 'point_of_interest', 'food', 'establishment']",新北市淡水區北新路56號,121.4460075,25.1781658,OPERATIONAL,{'open_now': True},AeeoHcKgT2S_IAgwgDbmf5aMx5M2ImpmfqC9LR9o76Fjp63WWevZE029P67cOpXD2e9d0paM4EtFjOGDiA_MoKCFMwID8YO-YaXLdNg2JRUGfBqvExycPkWcraTPdVt13gLOzW3ACbDDm82LrvRqrHepyQOapaglfkq_fCOgJ_e3WmSMzN9v11DkUWWhO_yHZWYXzUxnv9m34S7DIO47tazGEW46C9k2zSc-WQ0Y1-M-ZoMUTNwKc-23yK9mlJgUeejV94SDvWdd5_rhJIrFDPQ5WWQJ0MJ9fb-Wjv6T8xO7Y6MOq3K7pkBQc_WlMwlMjxVP1S6FMdCTFAmGHbeUF2_EtqHSkhq38mASbPwKg3keEiD3k_tSybHd_J9fF6EfIhZEskuJsDxoidxjGHKR22JSo4m8n4TtW46087U7zam3VDjeurvTaUHKudvEEQ2NoBXLKFmuYhzIO8UWoRZUlWANk2NheYGaeK8rKTS6emPH61oPGHm7yIzQMXt7r83D7oEyKYFiNa9IZO_cfU97lXPeSbqY3S7hlRAIB5csjb2diryz0oZz8UevXqsPFsO8KJXzuXF_9rLb
C3_382000000A_207675,ChIJk-2PPFilQjQR0cc1lpvqJfE,喜相逢米粉湯,3.7,1952,"['restaurant', 'food', 'point_of_interest', 'establishment']",新北市淡水區長興街2號,121.4438761,25.1705748,OPERATIONAL,{'open_now': True},AeeoHcKpMGYXjDs5et7-KkM7IZtjYZgtbld8pAeB7l7fOa-YkkYhIunhDeuUWm0iJjH5pawS24WGhq5_puQGkGI3Lfdi5Zk__Ki4dx6Lg3lxPnzN1MO8Nx832oVdaKIDk_jplD5Lx1FTEVVOw8SNz2OqHGoRaShqs-NOGgGkBhU04DNZE2tKQCgqvR7R2lBMON-F-lM6wuXWHCFAxjgbb8_NZ60gVUaEcFlLVpWk_FBfHMkJfkZDmkdFIbOPREkj3KpQdPO_OkeZghxnF2xBM_dHkEKSrOvf00VZT_z_ROu-7Vx97EWn32QL08y9EG-NkdpufoK20aPvgkgjfBwha7sArXbzBue4DOhN99L_X5UW_XnWncylfYeN7qPO3_DYNBYqiyG6hZH45O3RKASOvgXl-ogf3RIe0S6K9dW1sSnaYoQqIZWHRLn8SL_7fvsGLWnPSDXvEnTbAwPrirV965Sp5Ss7AHyVZYW15Mp-v96BiKcR4077_hXqX9ON0b83060pYcr5uzcZLonm1CjPxsGl_KCF6TITlvVVXiSQo59YmrXmqdCjS-dChEPuKAwf3_ofgzVD17CI
C3_382000000A_207690,ChIJ1epnURBVXTQRMEdVewrL4tw,王氏豆腐,3.5,1009,"['restaurant', 'point_of_interest', 'food', 'establishment']",新北市石碇區石碇東街85號,121.660183,24.9910443,OPERATIONAL,{'open_now': False},AeeoHcJZQtTm3XE5LQn7bdl9tel7cH11jCwKyFPzR1Dyji_X6czOliC4jqPRQiR4CwOTGnKizRrZpz-XIWk_0mGskfb_vIN3Rq0zMRS7mmF5qCDR7ID9IjE9ZOq8RidQvXOnhveTlazLTgRQKhD9nKhFnb5YbkbT99HFZOe2HUSFJ6ESZErzI5l4YgzzkFkWHzmuEpIF_Oo-0rBqWuoOa2axgEciXRZTuy5Gnn6nrAsIXA-jUsYr1nAC_yeF8qNjsguG4MC8HA0KmmpO-kYijLFo7hxGfuK-iv6Ro_7JMv4y2uwrmRL9RrHQahE6jCk6lzfQIArgVaLIPqhVRfMRxUwdtJrZPDJ0sru2dLO7_gnhfAuY5KOIHAGj2HqGkbBl17X5mfoXUUrD80MGjVGJ4kmPDIyjIQdWhSIveC0eKmk1Wfy658VKOK54UjP_-TnMRsdJ-n52F0kmtkfSbjsDZHfq80UyVzEP5NG8VHx6Bagru2jV_3mmWq6lGysmPb9mCLhB1TuB7XGHMVGatJRoEkOUS3o6KGQAE1hymLwvEwAkPhh6QZN0nY5REQE-MIKz4H0g0vDjaPzL
C3_382000000A_207691,ChIJnWTpURBVXTQRfqimODLANAc,美美飲食店,4.3,441,"['restaurant', 'point_of_interest', 'food', 'establishment']",新北市石碇區石碇東街71號,121.6605273,24.9908951,OPERATIONAL,{'open_now': False},AeeoHcJFS9bg2x_-6-9crhNvHe12E2-omRlvHdUTRK-l2v_yP_F4esLH3VFfxD3c4g9z_VnK7h21bTlwoWMRxRM9kU2DdMP1G6eQkDB-nEw1uEA3-xw5buU2KX2kbnQAeda9jArL3xZFY5BT0JRTVUpi_TAAKDlJEux1tNZHaWR-FIiw8Lury7lvkr_e5fzvEOO_NAbCElk1cv74vya7YyWEdeN9-ic6CGt7bS9WmCkD235jLjjdHPUi8PxDMlIMVE0K0ZYTzsqvRSEVfIrQQpEYVI98Mp1-PTtoppmIO4fkXCYpnNz8Ayg
