id_open,name_open,region_open,town_open,add_open,place_id,f_name,rate,comm,types,address,lng,lat,business_status
C3_376580000A_000043,柯子湖客家料理,新竹市,北區,新竹市北區湳雅街197號,ChIJ3SVzJO0waDQRliUWVGbCIt8,老街客家菜,3.6,130,"['restaurant', 'food', 'point_of_interest', 'establishment']",303台灣新竹縣湖口鄉湖口老街223號,121.0579205,24.8772702,OPERATIONAL
C3_376580000A_000043,柯子湖客家料理,新竹市,北區,新竹市北區湳雅街197號,ChIJewW9cDM3aDQRHEdFksMkQqA,木木食堂成功店,4.5,225,"['restaurant', 'food', 'point_of_interest', 'establishment']",302台灣新竹縣竹北市成功二街35號,121.0233536,24.8201616,OPERATIONAL
C3_376580000A_000043,柯子湖客家料理,新竹市,北區,新竹市北區湳雅街197號,ChIJwRZ5yMs-aDQRJDdHFNbKlRM,梅花客家料理,4.5,235,"['restaurant', 'food', 'point_of_interest', 'establishment']",306台灣新竹縣關西鎮正義路101號,121.175981,24.7943221,OPERATIONAL
C3_376580000A_000043,柯子湖客家料理,新竹市,北區,新竹市北區湳雅街197號,ChIJp0En-pI2aDQRKM36gD1MFNA,全家福客家菜館,4.3,2140,"['restaurant', 'food', 'point_of_interest', 'establishment']",302台灣新竹縣竹北市光明六路118號,121.008103,24.8281528,OPERATIONAL
C3_376580000A_000044,高家冬瓜茶,新竹市,北區,新竹市北區中正路234號,ChIJdf6Rb8c1aDQRuvLGKIsgl78,高家冬瓜茶,4.2,477,"['point_of_interest', 'establishment']",300台灣新竹市北區中正路234號,120.9653384,24.8109552,OPERATIONAL
C3_376580000A_000044,高家冬瓜茶,新竹市,北區,新竹市北區中正路234號,ChIJXfHPMZU1aDQRJo0q1E5aIUA,高家冬瓜茶,4.2,120,"['point_of_interest', 'establishment']",300台灣新竹市北區西門街88號,120.9642302,24.8019484,OPERATIONAL
C3_376580000A_000045,阿忠冰店,新竹市,北區,新竹市北區東門街187號,ChIJu34WPMA1aDQRXvgbZOuy7MI,阿忠冰店,3.0,2318,"['food', 'point_of_interest', 'store', 'establishment']",300台灣新竹市北區東門街187號,120.9663994,24.8043972,OPERATIONAL
C3_376580000A_000045,阿忠冰店,新竹市,北區,新竹市北區東門街187號,ChIJu34WPMA1aDQRKtnWZhho1y8,阿忠冰店,3.3,203,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市東區西大路57號,120.9713578,24.7956451,OPERATIONAL
C3_376580000A_000046,大千米苔目冰店,新竹市,北區,新竹市北區警光路24號,ChIJnUnHGZQ1aDQRKg4QHjTYu9g,大千米苔目,3.5,147,"['point_of_interest', 'establishment']",300台灣新竹市北區警光路24號,120.9568422,24.797425,OPERATIONAL
C3_376580000A_000047,阿惠冰店-光華店,新竹市,北區,新竹市北區光華二街17號,ChIJF4FVcM41aDQRITo2ptvNwpU,阿惠冰店,4.3,1504,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區光華二街17號,120.9742127,24.8173273,OPERATIONAL
C3_376580000A_000048,阿惠冰店-西門店,新竹市,北區,新竹市北區西安街86號,ChIJF4FVcM41aDQRITo2ptvNwpU,阿惠冰店,4.3,1504,"['restaurant', 'point_of_interest', 'food', 'establishment']",300台灣新竹市北區光華二街17號,120.9742127,24.8173273,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJz9JL1EWrQjQRXOg91jwIfFc,綠逗薏人 - 台安店,3.2,163,"['food', 'point_of_interest', 'store', 'establishment']",105台灣台北市松山區八德路二段414號,121.5469342,25.0480698,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJOTRwKdw3aDQRrz6dKfxqAwA,一豆屋,4.3,67,"['restaurant', 'food', 'point_of_interest', 'establishment']",302台灣新竹縣竹北市縣政十三路75號,121.0062331,24.8284817,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJjbiWnZWrQjQRkWHZynVv2nQ,綠逗薏人 八德店,3.8,594,"['food', 'point_of_interest', 'store', 'establishment']",105台灣台北市松山區八德路四段165-1號,121.562755,25.0488474,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJc4_7UmepQjQReFyew0mA6C8,伊荳養生甜品專賣,4.2,193,"['restaurant', 'food', 'point_of_interest', 'establishment']",10491台灣台北市中山區長春路133-2號1樓,121.5311326,25.0549426,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJAZ8AVSWrQjQRLG1Bn_LWPMk,一滴滴 EDD 漢方甜點專賣店,4.9,337,"['food', 'point_of_interest', 'store', 'establishment']",105台灣台北市松山區復興北路427巷20號,121.5457129,25.0632596,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJfw1qTSKvQjQRObu1qXTwhKo,養生薏仁露,5.0,6,"['restaurant', 'food', 'point_of_interest', 'establishment']",111010台灣台北市士林區中正路華榮街口,121.5237077,25.0949855,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJ80YSLNKrQjQRdZU13XCEySk,綠逗薏人-大安店,3.5,472,"['food', 'point_of_interest', 'store', 'establishment']",106台灣台北市大安區大安路一段192號,121.5458681,25.0356732,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJ0xsFd06tQjQRbjSsSBUNcWI,山居甜品 3GDESSERT 《杏仁豆腐、刨冰、甜酒釀、紅豆湯、嫩仙草、黑棗銀耳露、綠豆湯、赤紅釀、芝麻湯圓、大直美食》,4.5,332,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",104台灣台北市中山區北安路458巷41弄45號,121.5463638,25.0792834,OPERATIONAL
