區域,類型,Place ID,名稱,評分,評論數,分類標籤,地址,經度,緯度,營業狀態,營業時間,圖片資訊
中正區,餐廳,ChIJ_arDipWpQjQR2q2yV467ABY,overthink 餐飲小吃部,4.9,1707,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區廈門街34巷2號1樓,121.5173134,25.0257769,OPERATIONAL,{'open_now': False},AeeoHcKErmESJiFfCqKU9YpJGxdloXPh_Zp1Dt0mnXp4Rt8bl-JKpBCipGF7Ip2wqcMx14PhV4Hic2kf1YnCpH_Ta5E88xFrBuoFWmKfVTv2m6hdaS0_WoTTiMAPwPgVNJAdPWoFEeAEoZ92s9rKwkYHTIl17OceCZY_Wys9LL1_iOpllHny7C4KaMtgdGNJHTBsdqflHWJa-qaExncZDkRw9i3JRxmYidk81caHAS0oPUcQ92Bhjlp5MB3fmhpZJnuzARzX7eO2vU0fcTlw85GXU5QztBaKoKUh5Om4M_BaBQglSXhzGvQ
中正區,餐廳,ChIJg2E8b3ypQjQRkr4fraFP42w,TakeOut Burger&Cafe 忠孝新生店,4.7,3710,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區新生南路一段56巷6號,121.5321837,25.0410852,OPERATIONAL,{'open_now': True},AeeoHcIWSYzQ0Sq0gy6-_3grFXPsv9Um1BzQyi3lPaweJpxjs-GMJBR8NVpIMfkh3CZMUSQkKBx7HEs5Q0yPZlaxF6vAD4AlPu7sv_nibfhuhoG3yNX7FmrO85yyIbnG7a954KaQgo1yfgLbhXuiwMpEEe0vTYXYtynnO5V79yBSMCrnRJnmSFK3TVafadqkvXzIE8uLvllKaNHPuRa7Fkmg8h22yrEAFqszl8F0_Y2CuE8vHFqdvTnJHz-4bs8ARYZnbyhaJynVcsfgP9dT6SKOby7gpvs3-kxI393BLWX7qF_Az25B
中正區,餐廳,ChIJgbsfD3GpQjQR7z5ZO22KdVQ,雙月食品社 青島店,4.8,21152,"['restaurant', 'meal_delivery', 'store', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區青島東路6之2號,121.5220376,25.0437017,OPERATIONAL,{'open_now': False},AeeoHcJEQTb1KQnXJjIfLg0CyFg9GuJnDvHBd-C0MwpwQF30qBUhveJLXy37AFflny4vWD8Y_KF4isMKFMzRoLzehHiwXpga3tunnAI6YWeOrdlNftIxd7PoHM4oBUC3HMk2sc2jeUNr49w1fVItN5S4WKwdU7z-Wpaq2gq5B6a70X4GShk9o-nPC_cbDtCyf2uPdVF6BWOZS8IO-mbfSV0C920lw0ih6JNFYW1g9-MOYNrzN3GI6mYXe0s5qEhFzY5PWO1JWU2CKe3c8qQ5_KNsakzUCLgcnHCFBjAxrESNwppa-6xCkT0
中正區,餐廳,ChIJy5o21AepQjQRcZoTmIyARCA,南門鯓丼,4.9,1217,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區南昌路一段59巷37號,121.518301,25.0316476,OPERATIONAL,{'open_now': False},AeeoHcLVClghw7QJg0TNMy1GJ903tuHk1hH3rlCMpIMt1kqUkmRPejNCQ5m8mPEkCeU63bFj7-N1gU9kvxa0HV7fJLX0hcZeQr6KZUoCC-rXPZkFnloa1YF9QXkGoq-iH9DSCYn4JSVLaQmHRXT8dLhM-qb0OgPH7bVFW39wOfyKqURmp4OLHx7ln7Dqz9FEHSD87d8xexCLx8Q-2Nnrt5bdc6WUZCDQSWwyscJ9Xe8d9FOc4RwPMsqmTcE4GAMH0Fg2OZxD0HcGVVLzroxzlV0XXZtKeAb_2ts_-_u1MvBm6QfbP0Uz8wQ
中正區,餐廳,ChIJC8ObMXqpQjQRXnbI0Upn_4Y,大嗑西式餐館,4.6,2712,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區濟南路二段18-3號,121.5282306,25.0409802,OPERATIONAL,{'open_now': False},AeeoHcLBXBAKhzPjbLHvi5W5o9Z-rpukdhS7UmmFfGzbPZKCrZ1LMRvy3HM72a7gc_rIr0_n_APcy0SRiAjL7VKobAEaB3Z32sY-OEMIm3o5EAT9UqEsAR0AoY_Zgc9whVPRwRUbJilDtG6NwQJgAXWGVB-o_hCUS3FOLR92bu8umMlQbFq6oDid4XpUqk5XHy7bIhMn5nurbKKwgWnVhQuW3V3NfNuRiMoMarNDkVp6esRU5mpKghfG5DnLk5S949BTCfLYMIVTtk9R_FA7pGeQEujNOCR-0ze_1msxU6sM4UyLhNMKQTU
中正區,餐廳,ChIJE9VkEfupQjQRDV-R2oV0w70,姥姥酸菜魚 微風北車店,4.2,1416,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區北平西路3號2樓,121.5169983,25.0477467,OPERATIONAL,{'open_now': True},AeeoHcIynLzvEK6eYB-ldiQgqWcHzz26LMbumPm6thxvgC5oUgb2jaaq9DyBk5kduzNDouwBnsZ_ffo6FAW-_flz262OQHUM_OLt301ug48HfwSYn6H7fa5svtLNscekoFlUnj2kuZuFljnO3tlHVWrN_yKP2C1tTlWo3UYm8vTR99-HI2vm--GiofaTQNflrvZToaNqloRGua2Vm1dxVA-HRPazVgfqGXsobsmDKMwZwWHUZiUF0NYJgCj_nCxv13grM9Cwjb8l1_K0mWcTCNYjzWcMDM7WQeIyVtwAjkUgKtKZUZwKviU
中正區,餐廳,ChIJt0RG_NOpQjQRfvE-PaKcVYc,禾多餐酒館 台大徐州店 HERDOR Bistro 庭院餐廳 義式餐廳,4.6,1050,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區徐州路42號,121.5237763,25.0405173,OPERATIONAL,{'open_now': False},AeeoHcK5zAS07Fls4iguHmyq4gWWuBFqQqQXKLxl9nF4byPs8tjAOSMuUnVPHPG1ZmvqEDzjdjkPPKcq-05qVuYFNyi2lmFifGGpoUDGglXqqVqePfo5S2M8wiNewp4UIKSy8w9LfSOXsLJEXmMUEM6nf2_y_7IghS70eFP8kJHVGIdgItwJCiMufED2gWGIHbKu7NvEqvxItXxnvLE7zkOUK8-VjnhGDGzUW09M4zgHtJ1PxVMQLChJYNwTXlfE7zuEG5zkhHb9d7h028kbY-YVsnuu8yO4YdCZ9dwMGdHTLl3NGfrnxnw
中正區,餐廳,ChIJe-Zpv36pQjQRcIveo24nBg8,Second Floor 貳樓仁愛店,4.4,7875,"['cafe', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區仁愛路二段108號,121.5324211,25.0379173,OPERATIONAL,{'open_now': True},AeeoHcI0j9pYu2Pzin49TZEL9y1M8NWAPSnObLzrMgEO2h8CYgOgMnb8oHXItBej7PCWufZRWTk-8Ya4RezXJO5RC1BSpqN6TGr6xswhbQM5kUNEJqUzqgbimdJTv5ScSgqs-S9AhzmCjMDlcmafjLdge84WtRULxuiQydi2wmp5201hwN2RCZdRFtqCJzmpBmT9A1EMlJnlAxyL_WUPabtP5BSISD_auh_QZfXhXoQlHm_vFSdbCrv_Crs6lzQDs-Kt8qo3OUe41Q2Hev5JVj4fC2sAI4FmrMf7gN4T2MVFMUZkDvFRc3M
中正區,餐廳,ChIJ0V6dxDmpQjQRa1jJ0eaWVW4,快樂食堂,5.0,70,"['restaurant', 'point_of_interest', 'food', 'establishment']",10048台灣台北市中正區貴陽街一段56號3樓之1,121.5096816,25.0378778,OPERATIONAL,{'open_now': True},AeeoHcKGwptzq7bm0FjQ813eT-FnDhMupXBGDao0kcpMXCdnAca-exxXMWcQ3XOKrU6doqUrsC0leVdUAbTS0B_9sZAMVl39IbOrXsqrp_a10N3joIQdgIVa5PvLamrLFrPzWnUko_RQQbOdCcTYN-W7VPQkSf2nVjP9zUDDen0pdM96VZQdmioIZqdP50WUxlMwPLgjYplatGxoOKRDQ77nhQJx3WXASbGovLh-tRwPMKrspn9-XEllpyh2BpEANHg8EIiOeSQnC_FZjJ0IwtPoHqYbnH3X551dbjxhB6tTg0urDv7d9FU
中正區,餐廳,ChIJJwMI43OpQjQRwwiSvnmKVyk,蘇杭餐廳 濟南店,4.3,3424,"['restaurant', 'point_of_interest', 'food', 'establishment']",100台灣台北市中正區濟南路一段2-1號,121.519646,25.043022,OPERATIONAL,{'open_now': False},AeeoHcJ2Rsdlz4IW_0g8aIT_cuJr3DSJg0Rdgt4Ysc1G1KzMcLu5M7LOQCrXDD081LCU29qZ_rFoqYNTZ11rjr901HMmzkA8c_jBofq_IdaVP5NHN5vKUfvDbWLeneKn85qwNGA2ezZnXZSwLDv2W9Xp_Q1lhNUddrOY-733dGA8Y5zZgrU4mlLZ01eMoSw-cI01wMzsrd9mn9Hdhg1aFnA7UkYtby1rJKoBpOy1xvPK0ASoAaK7QuuGaUI-uvHDrB6k0hgqxibpBfAxXLMyytJjquwPYZxSBcvB9V6Kld-tS3gumDez3-M
