ev_name,county,address,geo_loc,pic_url,accu_url,s_time,e_time
劉書甫-細味臺中：舌尖與筆尖上的對話,台中市,台中市 台中市太平區大興路201號,POINT(24.1568615 120.7350179),https://static.accupass.com/eventbanner/2502020910372067459860_P520x260.jpg,https://www.accupass.com/event/2502020843474426769430?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-11 14:00:00,2025-05-11 16:00:00
愛手創日本手作祭 第七回 百職日行 // 日本職人手作課程 - 來用日本陶瓷和天然石製作金繕飾品吧！,台北市,台北市中正區八德路一段1號,POINT(25.0444197 121.5299214),https://static.accupass.com/eventbanner/2504021057244443715540_P520x260.jpg,https://www.accupass.com/event/2504011003251874176837?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-13 10:30:00,2025-06-15 19:00:00
拍檔即興-第五號作品【曾奇妙偵探社】,台北市,台北市中山區林森北路286號B1,POINT(25.0557049 121.525345),https://static.accupass.com/eventbanner/2503281604561198008693_P520x260.jpg,https://www.accupass.com/event/2503281604418089709460?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-14 20:00:00,2025-06-14 21:20:00
【藝文講座】陶淵明的田園交響曲,新北市,新北市蘆洲區三民路178號,POINT(25.0885431 121.46988),https://static.accupass.com/eventbanner/2503260327261144365952_P520x260.jpg,https://www.accupass.com/event/2503250220551798922167?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-17 14:00:00,2025-05-17 16:00:00
台北大稻埕老派約會-5月周六場,台北市,台北市第一銀行大稻埕分行,POINT(25.0557807 121.5101501),https://static.accupass.com/eventbanner/2502130833102115597507_P520x260.jpg,https://www.accupass.com/event/2504021218551458888719?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-17 13:30:00,2025-05-17 17:00:00
【 台中場-國立自然科學博物館植物園 WALX健走趣- Echo教練】,台中市,台中市 404北區館前路1號(國立自然科學博物館),POINT(24.1572335 120.6660606),https://static.accupass.com/eventbanner/2504110448036037053240_P520x260.jpg,https://www.accupass.com/event/2504091000434606634010?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-05 10:00:00,2025-05-06 11:00:00
愛手創日本手作祭 第七回 百職日行 // 日本職人手作課程 - 日本傳統刺繡-可愛麻布手提袋,台北市,台北市中正區八德路一段1號,POINT(25.0444197 121.5299214),https://static.accupass.com/eventbanner/2504070240041783617820_P520x260.jpg,https://www.accupass.com/event/2504020359566481198190?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-13 10:30:00,2025-06-15 19:00:00
【男生看照排約，實名認證】全台交友|全台聯誼|全台相親|交友APP|單身聯誼|感情諮詢|男女1:1|菁英聯誼|未婚二春伴侶|相親|月老|媒人|一對一|dating|男生入會3600,台中市,台中市市區,POINT(24.1629765 120.6746104),https://static.accupass.com/eventbanner/2407261118555488681930_P520x260.jpg,https://www.accupass.com/event/2403061141298683065750?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2024-03-06 00:00:00,2030-12-31 00:00:00
鳴石樂集音樂殿堂 《我們的高盧戰記》康郁理中提琴獨奏會,台北市,台北市中正區仁愛路二段34號5樓,POINT(25.0380784 121.5271673),https://static.accupass.com/eventbanner/2503101133271914933094_P520x260.jpg,https://www.accupass.com/event/2503052220211149833070?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-17 14:00:00,2025-05-17 15:30:00
障礙藝術家在劇場，融藝嗎？,台北市,台北市大同區歸綏街97巷4號1樓,POINT(25.0591198 121.5159549),https://static.accupass.com/eventbanner/2504010910258584550600_P520x260.jpg,https://www.accupass.com/event/2503050402247567668420?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-22 19:00:00,2025-05-22 21:00:00
戀愛遊樂場-這局遊點甜🎲,台北市,台北市,POINT(25.0329694 121.5654177),https://static.accupass.com/eventbanner/2504150742471874731183_P520x260.jpg,https://www.accupass.com/event/2504150749078981407030?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-18 16:00:00,2025-05-18 19:00:00
【新手體驗】05月TRPG跑團夜 - 雙北聯合計畫,台北市,台北市(每場地點不同) 新生南路一段160巷18-1號,POINT(25.0345369 121.5307933),https://static.accupass.com/eventbanner/2503211315302789573030_P520x260.jpg,https://www.accupass.com/event/2503110445301025936746?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-01 19:30:00,2025-05-31 22:00:00
鳴石樂集樂壇新秀 《你想知道的十二星座音樂家》弦弦沒肆音樂會,台北市,台北市中正區仁愛路二段34號5樓,POINT(25.0380784 121.5271673),https://static.accupass.com/eventbanner/2503020128481271521497_P520x260.jpg,https://www.accupass.com/event/2411030739391877157384?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-25 14:30:00,2025-05-25 16:00:00
沾水筆美字：銅版體初學班＋手作長夾,台北市,台北市信義區忠孝東路五段360號2樓,POINT(25.0407675 121.5735366),https://static.accupass.com/eventbanner/2503250858462025269600_P520x260.jpg,https://www.accupass.com/event/2503250901252121790148?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-18 14:00:00,2025-05-25 18:00:00
