id_open,name_open,region_open,town_open,add_open,place_id,s_name,rate,comm,types,address,lng,lat,business_status
C1_376450000A_000985,鯉魚潭水庫,苗栗縣,卓蘭鎮,苗栗縣三義鄉鯉魚潭村三櫃106號,ChIJC9xtrOwEaTQRc7_J6BNXRkM,鯉魚潭觀景台,4.2,4133,"['tourist_attraction', 'point_of_interest', 'establishment']",369台灣苗栗縣卓蘭鎮苗52鄉道369號,120.7793175,24.339332,OPERATIONAL
C1_376450000A_000985,鯉魚潭水庫,苗栗縣,卓蘭鎮,苗栗縣三義鄉鯉魚潭村三櫃106號,ChIJF63kgoMEaTQR1h5UaFu5mWo,鯉魚潭水庫,4.3,382,"['natural_feature', 'establishment']",台灣苗栗縣鯉魚潭水庫,120.7938943,24.342406,
C1_376450000A_000985,鯉魚潭水庫,苗栗縣,卓蘭鎮,苗栗縣三義鄉鯉魚潭村三櫃106號,ChIJV1psLZ8FaTQRR4qs8WkMM8s,鯉魚潭水庫觀景台,4.3,46,"['point_of_interest', 'establishment']","台灣苗栗縣卓蘭鎮369, Unnamed Road",120.8032558,24.3370519,OPERATIONAL
C1_376450000A_000986,蘆竹湳古厝,苗栗縣,頭份市,苗栗縣頭份市蘆竹里15鄰191號,ChIJcUNIKimzaTQRTf5lOJoy42s,蘆竹湳古厝 (旅行社參觀需預約),4.3,2878,"['tourist_attraction', 'restaurant', 'point_of_interest', 'food', 'establishment']",351台灣苗栗縣頭份市蘆竹里15鄰191號,120.8900222,24.6769076,OPERATIONAL
C1_376450000A_000988,車之道體驗中心,苗栗縣,三義鄉,苗栗縣三義鄉西湖村伯公坑39號之1,ChIJn8Ld2s0FaTQR_WUaodYoRCM,「裕隆 造車基地」,4.8,414,"['tourist_attraction', 'museum', 'travel_agency', 'point_of_interest', 'establishment']",367台灣苗栗縣西湖村 伯公坑39號之1,120.7529016,24.3863313,OPERATIONAL
C1_376450000A_000989,銅鑼窯,苗栗縣,銅鑼鄉,苗栗縣銅鑼鄉竹森村9鄰74-1號,ChIJDdvy68KpaTQRHMByPSH2kI4,銅鑼窯,4.4,314,"['point_of_interest', 'store', 'establishment']",366台灣苗栗縣銅鑼鄉竹森村9鄰74-1號,120.7775272,24.4977816,OPERATIONAL
C1_376450000A_000990,葛瑞絲香草田,苗栗縣,頭屋鄉,362苗栗縣頭屋鄉明德路12鄰156號,ChIJ2S9Py9msaTQRCfu7UoepSeM,葛瑞絲香草田,4.3,2329,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",362台灣苗栗縣頭屋鄉明德路12鄰156號,120.8824571,24.5857218,OPERATIONAL
C1_376450000A_000991,愛情果園(苑裡鎮農會),苗栗縣,苑裡鎮,苗栗縣苑裡鎮彎麗路98號,ChIJ89G2NTQPaTQRjLvEDl-3-B8,愛情果園-苑裡鎮農會農民直銷站,4.1,357,"['tourist_attraction', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",358台灣苗栗縣苑裡鎮彎麗路98號,120.6854147,24.4135599,OPERATIONAL
C1_376450000A_000991,愛情果園(苑裡鎮農會),苗栗縣,苑裡鎮,苗栗縣苑裡鎮彎麗路98號,ChIJVVUZNTQPaTQRTP1OoxoqCdQ,苑裡鎮農會彎麗愛情果園,4.6,11,"['park', 'point_of_interest', 'establishment']",358台灣苗栗縣苑裡鎮彎麗路101號,120.6860183,24.4144595,OPERATIONAL
C1_376450000A_000994,獅山多功能運動公園,苗栗縣,竹南鎮,苗栗縣竹南鎮真如路39-45號,ChIJh9DipR-zaTQRjKzyg3_8RQg,竹南獅山親子公園,4.5,3275,"['park', 'point_of_interest', 'establishment']",350台灣苗栗縣竹南鎮真如路39-45號,120.8702839,24.6777717,OPERATIONAL
C1_376450000A_000996,雅聞七里香玫瑰森林,苗栗縣,頭屋鄉,苗栗縣頭屋鄉明德路226號,ChIJoV9-ZTCtaTQRKZAhAsFeLGI,雅聞七里香玫瑰森林,4.0,16562,"['tourist_attraction', 'point_of_interest', 'establishment']",362台灣苗栗縣頭屋鄉明德路226號,120.8852242,24.6000795,OPERATIONAL
C1_376450000A_000997,南庄雲水度假森林,苗栗縣,南庄鄉,苗栗縣南庄鄉南江村東江31-3號,ChIJjeAh0N9RaDQRWbBLDZP3jZo,南庄雲水度假溫泉,4.3,6657,"['lodging', 'point_of_interest', 'establishment']",353台灣苗栗縣南庄鄉3鄰東江31-3號,121.0111344,24.5993193,OPERATIONAL
C1_376450000A_000998,貓裏喵親子公園,苗栗縣,苗栗市,苗栗縣苗栗市玉清路351號(苗栗縣議會後方),ChIJC56hPO2taTQRle1OJns2RsU,貓裏喵親子公園,4.6,925,"['park', 'point_of_interest', 'establishment']",360台灣苗栗縣苗栗市玉清路351號,120.8373293,24.5640066,OPERATIONAL
C1_376450000A_001000,竹南啤酒廠,苗栗縣,竹南鎮,苗栗縣竹南鎮和興路345號,ChIJeysyp16zaTQRuse7S1gmiRM,臺灣菸酒股份有限公司 竹南啤酒廠,4.1,4721,"['tourist_attraction', 'food', 'point_of_interest', 'establishment']",350台灣苗栗縣竹南鎮和興路345號,120.8768849,24.7117321,OPERATIONAL
C1_376450000A_001002,自然風情景觀民宿,苗栗縣,卓蘭鎮,苗栗縣卓蘭鎮西坪里西坪134之7號,ChIJVaYpim0DaTQRRABHH1n2x14,自然風情景觀渡假民宿,4.2,994,"['cafe', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",369台灣苗栗縣卓蘭鎮,120.7818812,24.3324031,OPERATIONAL
C1_376450000A_001003,濱海藝文中心水泥管造景,苗栗縣,苑裡鎮,苗栗縣苑裡鎮出水路64-11號,ChIJpZzZAwAJaTQRt8pjP-pxwKA,苑裡濱海藝文中心水泥管造景,1.0,1,"['point_of_interest', 'establishment']",358台灣苗栗縣苑裡鎮,120.6454696,24.4527153,OPERATIONAL
C1_376450000A_001004,火炎山南鞍古道O走,苗栗縣,苑裡鎮,苗栗縣三義鄉與苑裡鎮交界,ChIJnT4qW5cFaTQRhO7XS70mNE0,火炎山,4.4,695,"['park', 'point_of_interest', 'establishment']",358台灣苗栗縣苑裡鎮,120.7301518,24.3773438,OPERATIONAL
C1_376450000A_001004,火炎山南鞍古道O走,苗栗縣,苑裡鎮,苗栗縣三義鄉與苑裡鎮交界,ChIJL1PxqZAFaTQR7dtSz09xK2U,火炎山山頂休息區,4.5,1372,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",367台灣苗栗縣三義鄉,120.7288654,24.3770411,OPERATIONAL
C1_376450000A_001004,火炎山南鞍古道O走,苗栗縣,苑裡鎮,苗栗縣三義鄉與苑裡鎮交界,ChIJUWZvW5cFaTQRjqWmoUFMmhU,火炎山,4.7,900,"['natural_feature', 'establishment']",358台灣苗栗縣苑裡鎮火炎山,120.725818,24.362964,
C1_376450000A_001004,火炎山南鞍古道O走,苗栗縣,苑裡鎮,苗栗縣三義鄉與苑裡鎮交界,ChIJCQG9vQwFaTQRLe7JGdAOZVk,火炎山登山口,4.5,1209,"['natural_feature', 'establishment']",367台灣苗栗縣三義鄉火炎山登山口,120.7360221,24.3587307,
C1_376450000A_001004,火炎山南鞍古道O走,苗栗縣,苑裡鎮,苗栗縣三義鄉與苑裡鎮交界,ChIJa1xezXAFaTQR_R7TquOw1Tc,火炎山自然保留區(山谷區),4.8,61,"['point_of_interest', 'establishment']",台灣苗栗縣苑裡鎮,120.7267119,24.3619401,OPERATIONAL
C1_376450000A_001004,火炎山南鞍古道O走,苗栗縣,苑裡鎮,苗栗縣三義鄉與苑裡鎮交界,ChIJs2G03Z0FaTQRvvTH_3HyC44,火炎山景觀台,4.5,1384,"['park', 'point_of_interest', 'establishment']",358台灣苗栗縣苑裡鎮新興路46號,120.7287806,24.3678056,OPERATIONAL
C1_376450000A_001005,龍鳳海洋驛站,苗栗縣,竹南鎮,苗栗縣竹南鎮龍江街359巷5號,ChIJr8CfG9yzaTQRQq3-_9ZJ9BE,龍鳳海洋驛站,4.7,31,"['point_of_interest', 'establishment']",350台灣苗栗縣竹南鎮龍江街359巷5號,120.8591656,24.7000779,OPERATIONAL
C1_376450000A_001061,POUYUENJI HILLS(茶生活園區),苗栗縣,三義鄉,苗栗縣三義鄉西湖28-8號,ChIJx0ByvrYFaTQR9ipmPvovzJI,POUYUENJI HILLS (寶元紀三義),4.5,212,"['tourist_attraction', 'point_of_interest', 'establishment']",367台灣苗栗縣三義鄉西湖28-8號,120.7598117,24.3923413,OPERATIONAL
C1_376450000A_001061,POUYUENJI HILLS(茶生活園區),苗栗縣,三義鄉,苗栗縣三義鄉西湖28-8號,ChIJ9_yNkBgEaTQRzmiX6KW5UlQ,十六份人文茶館,4.5,1834,"['restaurant', 'point_of_interest', 'food', 'establishment']",台灣苗栗縣三義鄉53號,120.781754,24.390058,OPERATIONAL
C1_376450000A_001061,POUYUENJI HILLS(茶生活園區),苗栗縣,三義鄉,苗栗縣三義鄉西湖28-8號,ChIJEXaa6ISpaTQRwnCpc2mAH7I,苗栗縣苗栗市茶文化園區,4.1,159,"['tourist_attraction', 'point_of_interest', 'establishment']",360台灣苗栗縣苗栗市Unnamed Road,120.7906838,24.5344233,CLOSED_TEMPORARILY
